Annotation,cell_class,Max_TopStruct,NT_binary,Meta_Class,Annotation Reduced,Anno + Topstruct,Anno + Topstruct + Layer
Inh_Vcan_St8sia2_2,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Vcan_St8sia2,Inh_Vcan_St8sia2_OLF,Inh_Vcan_St8sia2_OLF
Inh_Vcan_St8sia2_3,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Vcan_St8sia2,Inh_Vcan_St8sia2_OLF,Inh_Vcan_St8sia2_OLF
Inh_Vcan_St8sia2_4,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Vcan_St8sia2,Inh_Vcan_St8sia2_OLF,Inh_Vcan_St8sia2_OLF
Inh_Vcan_St8sia2_5,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Vcan_St8sia2,Inh_Vcan_St8sia2_OLF,Inh_Vcan_St8sia2_OLF
Inh_Prox1_Draxin,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Prox1_Draxin,Inh_Prox1_Draxin_OLF,Inh_Prox1_Draxin_OLF
Inh_Vcan_St8sia2_6,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Vcan_St8sia2,Inh_Vcan_St8sia2_OLF,Inh_Vcan_St8sia2_OLF
Inh_Vcan_Cd1d1,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Vcan_Cd1d1,Inh_Vcan_Cd1d1_OLF,Inh_Vcan_Cd1d1_OLF
NG_Draxin_9,NG,Isocortex,none,MC_59:Immature olfactory bulb neurons,NG_Draxin,NG_Draxin_Isocortex,NG_Draxin_Isocortex
NG_Draxin_10,NG,HPF,none,MC_59:Immature olfactory bulb neurons,NG_Draxin_10,NG_Draxin_10_HPF,NG_Draxin_10_HPF
NG_Draxin_11,NG,,none,MC_59:Immature olfactory bulb neurons,NG_Draxin_11,NG_Draxin_11,NG_Draxin_11
NG_Draxin_12,NG,STR,none,MC_58:Inhibitory olfactory neurons,NG_Draxin_12,NG_Draxin_12_STR,NG_Draxin_12_STR
Inh_Sp8_Draxin,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Sp8_Draxin,Inh_Sp8_Draxin_OLF,Inh_Sp8_Draxin_OLF
Inh_Frmd7_Hgf_1,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Frmd7_Hgf,Inh_Frmd7_Hgf_OLF,Inh_Frmd7_Hgf_OLF
Inh_Frmd7_Hgf_2,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Frmd7_Hgf,Inh_Frmd7_Hgf_OLF,Inh_Frmd7_Hgf_OLF
Inh_Frmd7_Hgf_3,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Frmd7_Hgf,Inh_Frmd7_Hgf_OLF,Inh_Frmd7_Hgf_OLF
NG_Myoz1_1,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,NG_Myoz1,NG_Myoz1_OLF,NG_Myoz1_OLF
NG_Myoz1_2,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,NG_Myoz1,NG_Myoz1_OLF,NG_Myoz1_OLF
Inh_Frmd7_Drd2,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Frmd7_Drd2,Inh_Frmd7_Drd2_OLF,Inh_Frmd7_Drd2_OLF
Inh_Frmd7_Emp2_1,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Frmd7_Emp2,Inh_Frmd7_Emp2_OLF,Inh_Frmd7_Emp2_OLF
Inh_Frmd7_Emp2_2,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Frmd7_Emp2,Inh_Frmd7_Emp2_OLF,Inh_Frmd7_Emp2_OLF
Inh_Vcan_Htr3a,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Vcan_Htr3a,Inh_Vcan_Htr3a_OLF,Inh_Vcan_Htr3a_OLF
Inh_Frmd7_Slc17a8,neuron,OLF,VGLUT3_GABA,MC_58:Inhibitory olfactory neurons,Inh_Frmd7_Slc17a8,Inh_Frmd7_Slc17a8_OLF,Inh_Frmd7_Slc17a8_OLF
Inh_Vip_Trim55_1,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Vip_Trim55,Inh_Vip_Trim55_OLF,Inh_Vip_Trim55_OLF
