Annotation,cell_class,Max_TopStruct,NT_binary,Meta_Class,Annotation Reduced,Anno + Topstruct,Anno + Topstruct + Layer
Ex_Ebf2_Prox1_Pou4f3,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Ebf2_Prox1_Pou4f3,Ex_Ebf2_Prox1_Pou4f3_MB,Ex_Ebf2_Prox1_Pou4f3_MB
Ex_Ebf2_Bmp6,neuron,MB,VGLUT2,MC_200:PAG and SCm neurons,Ex_Ebf2_Bmp6,Ex_Ebf2_Bmp6_MB,Ex_Ebf2_Bmp6_MB
Ex_Ebf2_Gpsm3_1,neuron,MB,VGLUT2,MC_200:PAG and SCm neurons,Ex_Ebf2_Gpsm3,Ex_Ebf2_Gpsm3_MB,Ex_Ebf2_Gpsm3_MB
Ex_Ebf2_Gpsm3_2,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Ebf2_Gpsm3,Ex_Ebf2_Gpsm3_MB,Ex_Ebf2_Gpsm3_MB
Ex_Defb1_Gsta2_1,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Defb1_Gsta2,Ex_Defb1_Gsta2_MB,Ex_Defb1_Gsta2_MB
Ex_Defb1_Gsta2_2,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Defb1_Gsta2,Ex_Defb1_Gsta2_MB,Ex_Defb1_Gsta2_MB
Ex_Defb1_Bhlhe23_1,neuron,MB,VGLUT2,MC_205:Tegmental neurons,Ex_Defb1_Bhlhe23,Ex_Defb1_Bhlhe23_MB,Ex_Defb1_Bhlhe23_MB
Ex_Ebf2_Bhlhe23,neuron,MB,VGLUT2,MC_205:Tegmental neurons,Ex_Ebf2_Bhlhe23,Ex_Ebf2_Bhlhe23_MB,Ex_Ebf2_Bhlhe23_MB
Ex_Prox1_Bhlhe23_1,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Prox1_Bhlhe23,Ex_Prox1_Bhlhe23_MB,Ex_Prox1_Bhlhe23_MB
Ex_Prox1_Bhlhe23_2,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Prox1_Bhlhe23,Ex_Prox1_Bhlhe23_MB,Ex_Prox1_Bhlhe23_MB
Ex_Prox1_Bhlhe23_3,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Prox1_Bhlhe23,Ex_Prox1_Bhlhe23_MB,Ex_Prox1_Bhlhe23_MB
Ex_Prox1_Ltbp1,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Prox1_Ltbp1,Ex_Prox1_Ltbp1_MB,Ex_Prox1_Ltbp1_MB
Ex_Zic1_Bhlhe23,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Zic1_Bhlhe23,Ex_Zic1_Bhlhe23_MB,Ex_Zic1_Bhlhe23_MB
Ex_Pax6_Pappa2_1,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pax6_Pappa2,Ex_Pax6_Pappa2_MB,Ex_Pax6_Pappa2_MB
Ex_Pax6_Pappa2_2,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pax6_Pappa2,Ex_Pax6_Pappa2_MB,Ex_Pax6_Pappa2_MB
Ex_Pax6_Pappa2_3,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pax6_Pappa2,Ex_Pax6_Pappa2_MB,Ex_Pax6_Pappa2_MB
Ex_Pax6_Gna14_1,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pax6_Gna14,Ex_Pax6_Gna14_MB,Ex_Pax6_Gna14_MB
Ex_Pax6_Gna14_2,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pax6_Gna14,Ex_Pax6_Gna14_MB,Ex_Pax6_Gna14_MB
Ex_Sim1_Asb4,neuron,MB,VGLUT2,MC_188:Hypothalamic and tegmental neurons,Ex_Sim1_Asb4,Ex_Sim1_Asb4_MB,Ex_Sim1_Asb4_MB
Ex_Sim1_Kynu,neuron,MB,VGLUT2,MC_188:Hypothalamic and tegmental neurons,Ex_Sim1_Kynu,Ex_Sim1_Kynu_MB,Ex_Sim1_Kynu_MB
Ex_Lmx1a_Agtr1b,neuron,MB,VGLUT2,MC_188:Hypothalamic and tegmental neurons,Ex_Lmx1a_Agtr1b,Ex_Lmx1a_Agtr1b_MB,Ex_Lmx1a_Agtr1b_MB
Ex_Lmx1a_Tinag,neuron,MB,VGLUT2,MC_188:Hypothalamic and tegmental neurons,Ex_Lmx1a_Tinag,Ex_Lmx1a_Tinag_MB,Ex_Lmx1a_Tinag_MB
Ex_Sim1_Pitx2_1,neuron,MB,VGLUT2,MC_195:Tegmental neurons,Ex_Sim1_Pitx2,Ex_Sim1_Pitx2_MB,Ex_Sim1_Pitx2_MB
Ex_Sim1_Pitx2_2,neuron,MB,VGLUT2,MC_195:Tegmental neurons,Ex_Sim1_Pitx2,Ex_Sim1_Pitx2_MB,Ex_Sim1_Pitx2_MB
Ex_Sim1_Pitx2_3,neuron,MB,VGLUT2,MC_195:Tegmental neurons,Ex_Sim1_Pitx2,Ex_Sim1_Pitx2_MB,Ex_Sim1_Pitx2_MB
Inh_Tbx3_Crabp1,neuron,MB,GABA,MC_83:Hypothalamic and pallidal neurons,Inh_Tbx3_Crabp1,Inh_Tbx3_Crabp1_MB,Inh_Tbx3_Crabp1_MB
Ex_Vsx2_Pitx2,neuron,MB,VGLUT2,MC_154:Midbrain and pontine neurons,Ex_Vsx2_Pitx2,Ex_Vsx2_Pitx2_MB,Ex_Vsx2_Pitx2_MB
Ex_Vsx2_Galr1,neuron,MB,VGLUT2,MC_154:Midbrain and pontine neurons,Ex_Vsx2_Galr1,Ex_Vsx2_Galr1_MB,Ex_Vsx2_Galr1_MB
Ex_Vsx2_C1ql4,neuron,MB,VGLUT2,MC_155:Pontine and medullary reticular neurons,Ex_Vsx2_C1ql4,Ex_Vsx2_C1ql4_MB,Ex_Vsx2_C1ql4_MB
Ex_Vsx2_Sox1,neuron,,VGLUT2,MC_198:Brainstem neurons,Ex_Vsx2_Sox1,Ex_Vsx2_Sox1,Ex_Vsx2_Sox1
Inh_Pax3_Zic1_1,neuron,MB,GABA,MC_96:Midbrain neurons,Inh_Pax3_Zic1,Inh_Pax3_Zic1_MB,Inh_Pax3_Zic1_MB
Inh_Pax3_Zic1_2,neuron,MB,GABA,MC_96:Midbrain neurons,Inh_Pax3_Zic1,Inh_Pax3_Zic1_MB,Inh_Pax3_Zic1_MB
Ex_Tcf7l2_Prokr2,neuron,MB,VGLUT2,MC_214:Lateral habenular neurons,Ex_Tcf7l2_Prokr2,Ex_Tcf7l2_Prokr2_MB,Ex_Tcf7l2_Prokr2_MB
Ex_Sox6_Twist1,neuron,MB,VGLUT2,MC_214:Lateral habenular neurons,Ex_Sox6_Twist1,Ex_Sox6_Twist1_MB,Ex_Sox6_Twist1_MB
Inh_Zeb2_Crym_1,neuron,MB,GLY,MC_141:Medullary neurons,Inh_Zeb2_Crym,Inh_Zeb2_Crym_MB,Inh_Zeb2_Crym_MB
Inh_Zeb2_Crym_2,neuron,MB,GLY,MC_141:Medullary neurons,Inh_Zeb2_Crym,Inh_Zeb2_Crym_MB,Inh_Zeb2_Crym_MB
Inh_Zeb2_Clec10a,neuron,,GLY,"MC_119:Cerebellar interneurons (MLI, PLI)",Inh_Zeb2_Clec10a,Inh_Zeb2_Clec10a,Inh_Zeb2_Clec10a
Ex_C1ql4_Art4,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_C1ql4_Art4,Ex_C1ql4_Art4_MB,Ex_C1ql4_Art4_MB
Ex_C1ql4_Nts,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_C1ql4_Nts,Ex_C1ql4_Nts_MB,Ex_C1ql4_Nts_MB
Ex_C1ql4_Tnnt2,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_C1ql4_Tnnt2,Ex_C1ql4_Tnnt2_MB,Ex_C1ql4_Tnnt2_MB
Ex_C1ql4_Slc25a21,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_C1ql4_Slc25a21,Ex_C1ql4_Slc25a21_MB,Ex_C1ql4_Slc25a21_MB
Ex_C1ql4_Mdfic2_1,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_C1ql4_Mdfic2,Ex_C1ql4_Mdfic2_MB,Ex_C1ql4_Mdfic2_MB
Ex_C1ql4_Mdfic2_2,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_C1ql4_Mdfic2,Ex_C1ql4_Mdfic2_MB,Ex_C1ql4_Mdfic2_MB
Ex_C1ql4_Pappa,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_C1ql4_Pappa,Ex_C1ql4_Pappa_MB,Ex_C1ql4_Pappa_MB
Ex_Zfp114_Art4,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_Zfp114_Art4,Ex_Zfp114_Art4_MB,Ex_Zfp114_Art4_MB
Ex_C1ql4_Svep1,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_C1ql4_Svep1,Ex_C1ql4_Svep1_MB,Ex_C1ql4_Svep1_MB
Ex_C1ql4_Ebf2,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_C1ql4_Ebf2,Ex_C1ql4_Ebf2_MB,Ex_C1ql4_Ebf2_MB
Ex_C1ql4_Cox6a2_1,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_C1ql4_Cox6a2,Ex_C1ql4_Cox6a2_MB,Ex_C1ql4_Cox6a2_MB
Ex_C1ql4_Cox6a2_2,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_C1ql4_Cox6a2,Ex_C1ql4_Cox6a2_MB,Ex_C1ql4_Cox6a2_MB
Ex_C1ql4_Thbs4,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_C1ql4_Thbs4,Ex_C1ql4_Thbs4_MB,Ex_C1ql4_Thbs4_MB
Ex_Defb1_Arhgap36,neuron,MB,VGLUT2,MC_204:Tectal neurons,Ex_Defb1_Arhgap36,Ex_Defb1_Arhgap36_MB,Ex_Defb1_Arhgap36_MB
Ex_Defb1_Cnga3,neuron,MB,VGLUT2,MC_204:Tectal neurons,Ex_Defb1_Cnga3,Ex_Defb1_Cnga3_MB,Ex_Defb1_Cnga3_MB
Ex_Tfap2b_Cldn3_1,neuron,MB,VGLUT2,MC_204:Tectal neurons,Ex_Tfap2b_Cldn3,Ex_Tfap2b_Cldn3_MB,Ex_Tfap2b_Cldn3_MB
Ex_Tfap2b_Cldn3_2,neuron,MB,VGLUT2,MC_204:Tectal neurons,Ex_Tfap2b_Cldn3,Ex_Tfap2b_Cldn3_MB,Ex_Tfap2b_Cldn3_MB
Ex_Tfap2b_Cldn3_3,neuron,MB,VGLUT2,MC_204:Tectal neurons,Ex_Tfap2b_Cldn3,Ex_Tfap2b_Cldn3_MB,Ex_Tfap2b_Cldn3_MB
Ex_Tfap2b_Clec12a,neuron,MB,VGLUT2,MC_204:Tectal neurons,Ex_Tfap2b_Clec12a,Ex_Tfap2b_Clec12a_MB,Ex_Tfap2b_Clec12a_MB
Ex_Tfap2b_Wfdc10,neuron,MB,VGLUT2,MC_204:Tectal neurons,Ex_Tfap2b_Wfdc10,Ex_Tfap2b_Wfdc10_MB,Ex_Tfap2b_Wfdc10_MB
Ex_Tfap2b_Calcr,neuron,MB,VGLUT2,MC_204:Tectal neurons,Ex_Tfap2b_Calcr,Ex_Tfap2b_Calcr_MB,Ex_Tfap2b_Calcr_MB
Ex_Tfap2b_Gabre,neuron,MB,VGLUT2,MC_204:Tectal neurons,Ex_Tfap2b_Gabre,Ex_Tfap2b_Gabre_MB,Ex_Tfap2b_Gabre_MB
Ex_Tfap2b_Crh,neuron,MB,VGLUT2,MC_204:Tectal neurons,Ex_Tfap2b_Crh,Ex_Tfap2b_Crh_MB,Ex_Tfap2b_Crh_MB
Inh_Dlx1_Foxd1_1,neuron,MB,GABA,MC_80:Anterior hypothalamic neurons,Inh_Dlx1_Foxd1,Inh_Dlx1_Foxd1_MB,Inh_Dlx1_Foxd1_MB
Inh_Dlx1_Foxd1_2,neuron,MB,GABA,MC_80:Anterior hypothalamic neurons,Inh_Dlx1_Foxd1,Inh_Dlx1_Foxd1_MB,Inh_Dlx1_Foxd1_MB
Inh_Dlx1_Six3,neuron,MB,GABA,MC_80:Anterior hypothalamic neurons,Inh_Dlx1_Six3,Inh_Dlx1_Six3_MB,Inh_Dlx1_Six3_MB
Inh_Pax6_Cdh23,neuron,MB,GABA,MC_80:Anterior hypothalamic neurons,Inh_Pax6_Cdh23,Inh_Pax6_Cdh23_MB,Inh_Pax6_Cdh23_MB
Inh_Pax6_Nkx2-2_1,neuron,MB,GABA,MC_80:Anterior hypothalamic neurons,Inh_Pax6_Nkx2-2,Inh_Pax6_Nkx2-2_MB,Inh_Pax6_Nkx2-2_MB
Inh_Pax6_Nkx2-2_2,neuron,MB,GABA,MC_80:Anterior hypothalamic neurons,Inh_Pax6_Nkx2-2,Inh_Pax6_Nkx2-2_MB,Inh_Pax6_Nkx2-2_MB
Inh_Six3_Irs4_1,neuron,MB,GABA,MC_83:Hypothalamic and pallidal neurons,Inh_Six3_Irs4,Inh_Six3_Irs4_MB,Inh_Six3_Irs4_MB
Inh_Six3_Tpbg,neuron,MB,GABA,MC_83:Hypothalamic and pallidal neurons,Inh_Six3_Tpbg,Inh_Six3_Tpbg_MB,Inh_Six3_Tpbg_MB
Inh_Six3_Six6_1,neuron,MB,GABA,MC_83:Hypothalamic and pallidal neurons,Inh_Six3_Six6,Inh_Six3_Six6_MB,Inh_Six3_Six6_MB
Inh_Six3_Six6_2,neuron,MB,GABA,MC_83:Hypothalamic and pallidal neurons,Inh_Six3_Six6,Inh_Six3_Six6_MB,Inh_Six3_Six6_MB
Inh_Six3_Aldh3b2_1,neuron,MB,GABA,MC_83:Hypothalamic and pallidal neurons,Inh_Six3_Aldh3b2,Inh_Six3_Aldh3b2_MB,Inh_Six3_Aldh3b2_MB
Inh_Six3_Aldh3b2_2,neuron,MB,GABA,MC_83:Hypothalamic and pallidal neurons,Inh_Six3_Aldh3b2,Inh_Six3_Aldh3b2_MB,Inh_Six3_Aldh3b2_MB
Inh_Six3_Serpinb1b_Sox3,neuron,MB,GABA,MC_83:Hypothalamic and pallidal neurons,Inh_Six3_Serpinb1b_Sox3,Inh_Six3_Serpinb1b_Sox3_MB,Inh_Six3_Serpinb1b_Sox3_MB
Inh_Six3_Bnc2_1,neuron,MB,GABA,MC_83:Hypothalamic and pallidal neurons,Inh_Six3_Bnc2,Inh_Six3_Bnc2_MB,Inh_Six3_Bnc2_MB
Inh_Six3_Bnc2_2,neuron,MB,GABA,MC_83:Hypothalamic and pallidal neurons,Inh_Six3_Bnc2,Inh_Six3_Bnc2_MB,Inh_Six3_Bnc2_MB
Inh_Six3_Pgm5,neuron,MB,GABA,MC_83:Hypothalamic and pallidal neurons,Inh_Six3_Pgm5,Inh_Six3_Pgm5_MB,Inh_Six3_Pgm5_MB
Inh_Six3_Fezf1_1,neuron,MB,GABA,MC_79:Hypothalamic and pallidal neurons,Inh_Six3_Fezf1,Inh_Six3_Fezf1_MB,Inh_Six3_Fezf1_MB
Ex_Zic1_St14,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Zic1_St14,Ex_Zic1_St14_MB,Ex_Zic1_St14_MB
Ex_Zic1_S100a11,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Zic1_S100a11,Ex_Zic1_S100a11_MB,Ex_Zic1_S100a11_MB
Ex_Zic1_Slc38a4,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Zic1_Slc38a4,Ex_Zic1_Slc38a4_MB,Ex_Zic1_Slc38a4_MB
Ex_Zic1_Mybpc1,neuron,MB,VGLUT2,MC_200:PAG and SCm neurons,Ex_Zic1_Mybpc1,Ex_Zic1_Mybpc1_MB,Ex_Zic1_Mybpc1_MB
Ex_Pou4f2_Trim21,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f2_Trim21,Ex_Pou4f2_Trim21_MB,Ex_Pou4f2_Trim21_MB
Ex_Pitx1_Moxd1,neuron,MB,VGLUT2,"MC_202:Tegmental neurons, including cuneiform nucleus",Ex_Pitx1_Moxd1,Ex_Pitx1_Moxd1_MB,Ex_Pitx1_Moxd1_MB
Ex_Pitx1_C1ql4,neuron,MB,VGLUT2,"MC_202:Tegmental neurons, including cuneiform nucleus",Ex_Pitx1_C1ql4,Ex_Pitx1_C1ql4_MB,Ex_Pitx1_C1ql4_MB
Ex_Pitx1_Nts,neuron,MB,VGLUT2,"MC_202:Tegmental neurons, including cuneiform nucleus",Ex_Pitx1_Nts,Ex_Pitx1_Nts_MB,Ex_Pitx1_Nts_MB
Ex_PItx2_Cox4i2,neuron,MB,VGLUT2,MC_203:Tectal neurons,Ex_PItx2_Cox4i2,Ex_PItx2_Cox4i2_MB,Ex_PItx2_Cox4i2_MB
Ex_Pitx1_Kntc1,neuron,MB,VGLUT2,"MC_202:Tegmental neurons, including cuneiform nucleus",Ex_Pitx1_Kntc1,Ex_Pitx1_Kntc1_MB,Ex_Pitx1_Kntc1_MB
Ex_C1ql4_Asb4,neuron,MB,VGLUT2,"MC_202:Tegmental neurons, including cuneiform nucleus",Ex_C1ql4_Asb4,Ex_C1ql4_Asb4_MB,Ex_C1ql4_Asb4_MB
Ex_Sim1_Bsx_1,neuron,MB,VGLUT2,"MC_197:Hypothalamic neurons, primarily periventricular and mammilary nuclei",Ex_Sim1_Bsx,Ex_Sim1_Bsx_MB,Ex_Sim1_Bsx_MB
Ex_Sim1_Bsx_2,neuron,MB,VGLUT2,"MC_197:Hypothalamic neurons, primarily periventricular and mammilary nuclei",Ex_Sim1_Bsx,Ex_Sim1_Bsx_MB,Ex_Sim1_Bsx_MB
Ex_Sim1_Bsx_3,neuron,MB,VGLUT2,"MC_197:Hypothalamic neurons, primarily periventricular and mammilary nuclei",Ex_Sim1_Bsx,Ex_Sim1_Bsx_MB,Ex_Sim1_Bsx_MB
Ex_Sim1_Bsx_4,neuron,HY,VGLUT2,"MC_197:Hypothalamic neurons, primarily periventricular and mammilary nuclei",Ex_Sim1_Bsx,Ex_Sim1_Bsx_HY,Ex_Sim1_Bsx_HY
Ex_Nkx2-4_Asb4,neuron,MB,VGLUT2,"MC_197:Hypothalamic neurons, primarily periventricular and mammilary nuclei",Ex_Nkx2-4_Asb4,Ex_Nkx2-4_Asb4_MB,Ex_Nkx2-4_Asb4_MB
Ex_Nkx2-4_Cdkn1c_1,neuron,MB,VGLUT2,"MC_197:Hypothalamic neurons, primarily periventricular and mammilary nuclei",Ex_Nkx2-4_Cdkn1c,Ex_Nkx2-4_Cdkn1c_MB,Ex_Nkx2-4_Cdkn1c_MB
Ex_Nkx2-4_Cdkn1c_2,neuron,MB,VGLUT2,"MC_197:Hypothalamic neurons, primarily periventricular and mammilary nuclei",Ex_Nkx2-4_Cdkn1c,Ex_Nkx2-4_Cdkn1c_MB,Ex_Nkx2-4_Cdkn1c_MB
Ex_Pou4f1_Plscr5_1,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f1_Plscr5,Ex_Pou4f1_Plscr5_MB,Ex_Pou4f1_Plscr5_MB
Ex_Pou4f1_Plscr5_2,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f1_Plscr5,Ex_Pou4f1_Plscr5_MB,Ex_Pou4f1_Plscr5_MB
Ex_Pou4f1_Plscr5_3,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f1_Plscr5,Ex_Pou4f1_Plscr5_MB,Ex_Pou4f1_Plscr5_MB
Ex_Pou4f1_Plscr5_4,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f1_Plscr5,Ex_Pou4f1_Plscr5_MB,Ex_Pou4f1_Plscr5_MB
Ex_Pou4f1_Plscr5_5,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f1_Plscr5,Ex_Pou4f1_Plscr5_MB,Ex_Pou4f1_Plscr5_MB
Ex_Pou4f1_Plscr5_6,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f1_Plscr5,Ex_Pou4f1_Plscr5_MB,Ex_Pou4f1_Plscr5_MB
Ex_Pou4f1_Plscr5_7,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f1_Plscr5,Ex_Pou4f1_Plscr5_MB,Ex_Pou4f1_Plscr5_MB
Ex_Pou4f1_Plscr5_8,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f1_Plscr5,Ex_Pou4f1_Plscr5_MB,Ex_Pou4f1_Plscr5_MB
Ex_Pou4f1_Plscr5_9,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f1_Plscr5,Ex_Pou4f1_Plscr5_MB,Ex_Pou4f1_Plscr5_MB
Ex_Pou4f1_Phex,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f1_Phex,Ex_Pou4f1_Phex_MB,Ex_Pou4f1_Phex_MB
Ex_Pou4f1_Trim21,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f1_Trim21,Ex_Pou4f1_Trim21_MB,Ex_Pou4f1_Trim21_MB
Ex_Fn1_Nts,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Fn1_Nts,Ex_Fn1_Nts_MB,Ex_Fn1_Nts_MB
Ex_Pou4f1_Uaca,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f1_Uaca,Ex_Pou4f1_Uaca_MB,Ex_Pou4f1_Uaca_MB
Ex_Pou4f1_6430628N08Rik,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pou4f1_6430628N08Rik,Ex_Pou4f1_6430628N08Rik_MB,Ex_Pou4f1_6430628N08Rik_MB
Ex_Tfap2b_Kcnmb1,neuron,MB,VGLUT2,MC_204:Tectal neurons,Ex_Tfap2b_Kcnmb1,Ex_Tfap2b_Kcnmb1_MB,Ex_Tfap2b_Kcnmb1_MB
Ex_Tfap2b_Layn,neuron,MB,VGLUT2,MC_204:Tectal neurons,Ex_Tfap2b_Layn,Ex_Tfap2b_Layn_MB,Ex_Tfap2b_Layn_MB
Ex_Tfap2b_Gli2,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Tfap2b_Gli2,Ex_Tfap2b_Gli2_MB,Ex_Tfap2b_Gli2_MB
Inh_Pax8_Otp_1,neuron,MB,GABA,"MC_99:Pontine and medullary neurons, primarily raphe",Inh_Pax8_Otp,Inh_Pax8_Otp_MB,Inh_Pax8_Otp_MB
Inh_Pax8_Otp_2,neuron,MB,GABA,"MC_99:Pontine and medullary neurons, primarily raphe",Inh_Pax8_Otp,Inh_Pax8_Otp_MB,Inh_Pax8_Otp_MB
Inh_Pax8_Otp_3,neuron,MB,GABA,"MC_99:Pontine and medullary neurons, primarily raphe",Inh_Pax8_Otp,Inh_Pax8_Otp_MB,Inh_Pax8_Otp_MB
Ex_Eya2_P2rx6_1,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Eya2_P2rx6,Ex_Eya2_P2rx6_MB,Ex_Eya2_P2rx6_MB
Ex_Eya2_P2rx6_2,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Eya2_P2rx6,Ex_Eya2_P2rx6_MB,Ex_Eya2_P2rx6_MB
Ex_Pou4f2_Sult3a2_1,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Pou4f2_Sult3a2,Ex_Pou4f2_Sult3a2_MB,Ex_Pou4f2_Sult3a2_MB
Ex_Pou4f2_Sult3a2_2,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Pou4f2_Sult3a2,Ex_Pou4f2_Sult3a2_MB,Ex_Pou4f2_Sult3a2_MB
Ex_Pou4f2_Grpr,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Pou4f2_Grpr,Ex_Pou4f2_Grpr_MB,Ex_Pou4f2_Grpr_MB
Ex_Pou4f1_Meis1_1,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Pou4f1_Meis1,Ex_Pou4f1_Meis1_MB,Ex_Pou4f1_Meis1_MB
Ex_Pou4f1_Meis1_2,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Pou4f1_Meis1,Ex_Pou4f1_Meis1_MB,Ex_Pou4f1_Meis1_MB
Ex_Pou4f1_Meis1_3,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Pou4f1_Meis1,Ex_Pou4f1_Meis1_MB,Ex_Pou4f1_Meis1_MB
Ex_Pou4f2_Sult3a2_3,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_Pou4f2_Sult3a2,Ex_Pou4f2_Sult3a2_MB,Ex_Pou4f2_Sult3a2_MB
Ex_Pou4f2_Sult3a2_4,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_Pou4f2_Sult3a2,Ex_Pou4f2_Sult3a2_MB,Ex_Pou4f2_Sult3a2_MB
Ex_Pou4f2_Sult3a2_5,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Pou4f2_Sult3a2,Ex_Pou4f2_Sult3a2_MB,Ex_Pou4f2_Sult3a2_MB
Ex_Pou4f2_Sult3a2_6,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_Pou4f2_Sult3a2,Ex_Pou4f2_Sult3a2_MB,Ex_Pou4f2_Sult3a2_MB
Ex_Pou4f2_Sult3a2_7,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Pou4f2_Sult3a2,Ex_Pou4f2_Sult3a2_MB,Ex_Pou4f2_Sult3a2_MB
Ex_Pou4f2_Sult3a2_8,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_Pou4f2_Sult3a2,Ex_Pou4f2_Sult3a2_MB,Ex_Pou4f2_Sult3a2_MB
Ex_Pou4f2_Sult3a2_9,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_Pou4f2_Sult3a2,Ex_Pou4f2_Sult3a2_MB,Ex_Pou4f2_Sult3a2_MB
Ex_Pou4f2_Sult3a2_10,neuron,MB,VGLUT2,MC_212:Tectal neurons,Ex_Pou4f2_Sult3a2_10,Ex_Pou4f2_Sult3a2_10_MB,Ex_Pou4f2_Sult3a2_10_MB
Ex_Pou4f2_Sult3a2_11,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Pou4f2_Sult3a2_11,Ex_Pou4f2_Sult3a2_11_MB,Ex_Pou4f2_Sult3a2_11_MB
Ex_Pou4f2_Sult3a2_12,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Pou4f2_Sult3a2_12,Ex_Pou4f2_Sult3a2_12_MB,Ex_Pou4f2_Sult3a2_12_MB
Ex_Gli3_Vwf,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Gli3_Vwf,Ex_Gli3_Vwf_MB,Ex_Gli3_Vwf_MB
Ex_Pou4f2_Gdpd4,neuron,MB,VGLUT2,MC_210:Tectal neurons,Ex_Pou4f2_Gdpd4,Ex_Pou4f2_Gdpd4_MB,Ex_Pou4f2_Gdpd4_MB
Ex_Pou4f3_Defb1_1,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Pou4f3_Defb1,Ex_Pou4f3_Defb1_MB,Ex_Pou4f3_Defb1_MB
Ex_Pou4f3_Defb1_2,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Pou4f3_Defb1,Ex_Pou4f3_Defb1_MB,Ex_Pou4f3_Defb1_MB
